,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BKR,BKR_6m,BKR_12m,BKR_6m_ret,BKR_12m_ret
409,409,409,409,2020-09-18,13.827786445617676,12.642809867858888,12.651925086975098,0.09372731142396495,0.09293932350683165
410,410,410,410,2020-09-21,13.062108993530272,12.715731620788574,12.861573219299316,0.027240066326613466,0.015591854185461829
411,411,411,411,2020-09-22,13.125913619995115,13.335567474365234,13.262643814086914,-0.015721404790094873,-0.010309422164121673
412,412,412,412,2020-09-23,12.332889556884766,13.408487319946287,13.244410514831545,-0.08021768133840701,-0.06882306743105149
413,413,413,413,2020-09-24,12.141472816467283,13.681941986083984,12.752190589904783,-0.11259141218282642,-0.04789120497626287
414,414,414,414,2020-09-25,11.968281745910645,13.846016883850098,12.870689392089844,-0.1356155458780085,-0.07011338854419147
415,415,415,415,2020-09-28,12.278199195861816,13.827786445617676,12.642809867858888,-0.11206329052376685,-0.02883937002991732
416,416,416,416,2020-09-29,11.968281745910645,13.062108993530272,12.715731620788574,-0.0837404777560351,-0.058781507597718274
417,417,417,417,2020-09-30,12.11412525177002,13.125913619995115,13.335567474365234,-0.07708327187859954,-0.09159281934894603
418,418,418,418,2020-10-01,11.631020545959473,12.332889556884766,13.408487319946287,-0.056910345924040096,-0.13256281126825387
419,419,419,419,2020-10-02,11.53075122833252,12.141472816467283,13.681941986083984,-0.050300453443049564,-0.15722846653928646
420,420,420,420,2020-10-05,11.813325881958008,11.968281745910645,13.846016883850098,-0.012947210572276435,-0.1468069134209281
421,421,421,421,2020-10-06,11.631020545959473,12.278199195861816,13.827786445617676,-0.052709574065264,-0.1588660562771712
422,422,422,422,2020-10-07,11.82244110107422,11.968281745910645,13.062108993530272,-0.012185595888587364,-0.09490564602317009
423,423,423,423,2020-10-08,12.196162223815918,12.11412525177002,13.125913619995115,0.0067720095624661525,-0.07083327097040149
424,424,424,424,2020-10-09,12.032089233398438,11.631020545959473,12.332889556884766,0.03448267379927317,-0.02439009301906936
425,425,425,425,2020-10-12,11.968281745910645,11.53075122833252,12.141472816467283,0.03794466716991152,-0.014264420237530162
426,426,426,426,2020-10-13,11.722169876098633,11.813325881958008,11.968281745910645,-0.007716371051660675,-0.020563676143077414
427,427,427,427,2020-10-14,11.986513137817385,11.631020545959473,12.278199195861816,0.030564178822760857,-0.023756420089905417
428,428,428,428,2020-10-15,12.259968757629396,11.82244110107422,11.968281745910645,0.03700823314022861,0.024371669878043845
429,429,429,429,2020-10-16,11.977397918701172,12.196162223815918,12.11412525177002,-0.017937142938912132,-0.011286603879951618
430,430,430,430,2020-10-19,11.950051307678224,12.032089233398438,11.631020545959473,-0.00681826107908956,0.027429300847515048
431,431,431,431,2020-10-20,12.424044609069824,11.968281745910645,11.53075122833252,0.03808089355139943,0.07747052755265149
432,432,432,432,2020-10-21,12.797768592834473,11.722169876098633,11.813325881958008,0.09175764624679039,0.08333323914986224
433,433,433,433,2020-10-22,13.1806058883667,11.986513137817385,11.631020545959473,0.09961969230083745,0.13322866521334964
434,434,434,434,2020-10-23,13.02564811706543,12.259968757629396,11.82244110107422,0.06245361424428997,0.10177314530092119
435,435,435,435,2020-10-26,12.67015552520752,11.977397918701172,12.196162223815918,0.057838740201216376,0.03886413551190859
436,436,436,436,2020-10-27,12.916265487670898,11.950051307678224,12.032089233398438,0.08085439594488242,0.07348484848484849
437,437,437,437,2020-10-28,12.487850189208984,12.424044609069824,11.968281745910645,0.005135652852741757,0.04341211665374334
438,438,438,438,2020-10-29,13.08033847808838,12.797768592834473,11.722169876098633,0.022079621396820626,0.11586324173300344
439,439,439,439,2020-10-30,13.463180541992188,13.1806058883667,11.986513137817385,0.021438669513280217,0.12319407547437011
440,440,440,440,2020-11-02,14.320009231567385,13.02564811706543,12.259968757629396,0.09937018894331717,0.16802983063525523
441,441,441,441,2020-11-03,14.474968910217283,12.67015552520752,11.977397918701172,0.14244603244364695,0.20852367170806563
442,442,442,442,2020-11-04,14.274434089660645,12.916265487670898,11.950051307678224,0.10515180284008352,0.19450818428611627
443,443,443,443,2020-11-05,14.33824062347412,12.487850189208984,12.424044609069824,0.14817525884992566,0.15407188839348573
444,444,444,444,2020-11-06,14.356680870056152,13.08033847808838,12.797768592834473,0.09757716851944198,0.12181125685414584
445,445,445,445,2020-11-09,16.29303550720215,13.463180541992188,13.1806058883667,0.2101921575205452,0.23613706723319172
446,446,446,446,2020-11-10,16.22848892211914,14.320009231567385,13.02564811706543,0.1332736354907269,0.24588725077392026
447,447,447,447,2020-11-11,16.19160270690918,14.474968910217283,12.67015552520752,0.11859326312474461,0.27793243537505696
448,448,448,448,2020-11-12,15.90576171875,14.274434089660645,12.916265487670898,0.11428317359852258,0.23145205817677694
449,449,449,449,2020-11-13,16.477449417114258,14.33824062347412,12.487850189208984,0.14919604502507045,0.3194784664659711
450,450,450,450,2020-11-16,17.32575798034668,14.356680870056152,13.08033847808838,0.20680804547819664,0.32456495750244096
451,451,451,451,2020-11-17,17.759130477905273,16.29303550720215,13.463180541992188,0.08998292368877814,0.3190887860794742
452,452,452,452,2020-11-18,17.13212013244629,16.22848892211914,14.320009231567385,0.05568178372390031,0.19637633296211976
453,453,453,453,2020-11-19,16.883159637451172,16.19160270690918,14.474968910217283,0.04271083864025993,0.16636931949014722
454,454,454,454,2020-11-20,16.790950775146484,15.90576171875,14.274434089660645,0.05565210092095163,0.17629537323014577
455,455,455,455,2020-11-23,17.759130477905273,16.477449417114258,14.33824062347412,0.07778394752405071,0.23858504988614704
456,456,456,456,2020-11-24,18.68120574951172,17.32575798034668,14.356680870056152,0.0782331007222068,0.30122038085246183
457,457,457,457,2020-11-25,18.23860740661621,17.759130477905273,16.29303550720215,0.026998896669376382,0.11941126001683622
458,458,458,458,2020-11-27,18.23860740661621,17.13212013244629,16.22848892211914,0.06458554257242,0.12386356450952829
459,459,459,459,2020-11-30,17.261211395263672,16.883159637451172,16.19160270690918,0.022392239718795448,0.06605946969647891
460,460,460,460,2020-12-01,17.731468200683594,16.790950775146484,15.90576171875,0.05601335136597729,0.11478271297006915
461,461,461,461,2020-12-02,18.13718032836914,17.759130477905273,16.477449417114258,0.021287632912783128,0.10072741655823303
462,462,462,462,2020-12-03,18.82873916625977,18.68120574951172,17.32575798034668,0.007897424755460847,0.08674836550400755
463,463,463,463,2020-12-04,20.09197807312012,18.23860740661621,17.759130477905273,0.10161799227234769,0.1313604626148348
464,464,464,464,2020-12-07,20.30405616760254,18.23860740661621,17.13212013244629,0.11324596856211011,0.18514556345825306
