,Unnamed: 0.1,Unnamed: 0,Date,GEHC,GEHC_6m,GEHC_12m
252,252,252,2023-12-18,75.03046417236328,68.49303436279297,68.43305969238281
253,253,253,2023-12-19,75.66022491455078,71.10201263427734,69.38269805908203
254,254,254,2023-12-20,75.41032409667969,72.02165222167969,69.34271240234375
255,255,255,2023-12-21,77.15962982177734,74.15081787109375,67.90327453613281
256,256,256,2023-12-22,77.54947662353516,75.89012908935547,68.02323150634766
257,257,257,2023-12-26,78.1092529296875,74.9804916381836,67.36348724365234
258,258,258,2023-12-27,77.63944244384766,75.03046417236328,68.49303436279297
259,259,259,2023-12-28,77.50949096679688,75.66022491455078,71.10201263427734
260,260,260,2023-12-29,77.28958129882812,75.41032409667969,72.02165222167969
261,261,261,2024-01-02,76.33995819091797,77.15962982177734,74.15081787109375
262,262,262,2024-01-03,76.0800552368164,77.54947662353516,75.89012908935547
263,263,263,2024-01-04,76.53987121582031,78.1092529296875,74.9804916381836
264,264,264,2024-01-05,76.58985900878906,77.63944244384766,75.03046417236328
265,265,265,2024-01-08,77.3295669555664,77.50949096679688,75.66022491455078
266,266,266,2024-01-09,76.62984466552734,77.28958129882812,75.41032409667969
267,267,267,2024-01-10,76.14002990722656,76.33995819091797,77.15962982177734
268,268,268,2024-01-11,76.22000122070312,76.0800552368164,77.54947662353516
269,269,269,2024-01-12,76.16999816894531,76.53987121582031,78.1092529296875
270,270,270,2024-01-16,74.97000122070312,76.58985900878906,77.63944244384766
271,271,271,2024-01-17,72.75,77.3295669555664,77.50949096679688
272,272,272,2024-01-18,73.5199966430664,76.62984466552734,77.28958129882812
273,273,273,2024-01-19,74.11000061035156,76.14002990722656,76.33995819091797
274,274,274,2024-01-22,74.63999938964844,76.22000122070312,76.0800552368164
275,275,275,2024-01-23,73.66999816894531,76.16999816894531,76.53987121582031
276,276,276,2024-01-24,71.55000305175781,74.97000122070312,76.58985900878906
277,277,277,2024-01-25,72.87000274658203,72.75,77.3295669555664
278,278,278,2024-01-26,73.1500015258789,73.5199966430664,76.62984466552734
279,279,279,2024-01-29,74.37999725341797,74.11000061035156,76.14002990722656
280,280,280,2024-01-30,74.0,74.63999938964844,76.22000122070312
281,281,281,2024-01-31,73.36000061035156,73.66999816894531,76.16999816894531
282,282,282,2024-02-01,74.3499984741211,71.55000305175781,74.97000122070312
283,283,283,2024-02-02,73.91000366210938,72.87000274658203,72.75
284,284,284,2024-02-05,73.0999984741211,73.1500015258789,73.5199966430664
