,Unnamed: 0.1,Unnamed: 0,Date,XEL,XEL_6m,XEL_12m
715,715,715,2021-12-06,60.89691162109375,60.504512786865234,60.700714111328125
716,716,716,2021-12-07,61.70039749145508,61.27997589111328,60.10276794433594
717,717,717,2021-12-08,62.70009613037109,59.54220199584961,60.82217025756836
718,718,718,2021-12-09,62.41046142578125,59.99065399169922,61.95265579223633
719,719,719,2021-12-10,62.1395149230957,60.4017448425293,61.5135498046875
720,720,720,2021-12-13,63.027099609375,60.8875617980957,61.24261093139648
721,721,721,2021-12-14,62.96168518066406,60.89691162109375,60.504512786865234
722,722,722,2021-12-15,64.29772186279297,61.70039749145508,61.27997589111328
723,723,723,2021-12-16,64.41917419433594,62.70009613037109,59.54220199584961
724,724,724,2021-12-17,62.59730529785156,62.41046142578125,59.99065399169922
725,725,725,2021-12-20,62.70944213867188,62.1395149230957,60.4017448425293
726,726,726,2021-12-21,62.406532287597656,63.027099609375,60.8875617980957
727,727,727,2021-12-22,62.77340316772461,62.96168518066406,60.89691162109375
728,728,728,2021-12-23,62.660526275634766,64.29772186279297,61.70039749145508
729,729,729,2021-12-27,62.85806655883789,64.41917419433594,62.70009613037109
730,730,730,2021-12-28,63.61064147949219,62.59730529785156,62.41046142578125
731,731,731,2021-12-29,63.930477142333984,62.70944213867188,62.1395149230957
732,732,732,2021-12-30,64.18445587158203,62.406532287597656,63.027099609375
733,733,733,2021-12-31,63.68587875366211,62.77340316772461,62.96168518066406
734,734,734,2022-01-03,63.91165542602539,62.660526275634766,64.29772186279297
735,735,735,2022-01-04,64.316162109375,62.85806655883789,64.41917419433594
736,736,736,2022-01-05,64.9464340209961,63.61064147949219,62.59730529785156
737,737,737,2022-01-06,64.4384536743164,63.930477142333984,62.70944213867188
738,738,738,2022-01-07,65.00287628173828,64.18445587158203,62.406532287597656
739,739,739,2022-01-10,65.71781921386719,63.68587875366211,62.77340316772461
740,740,740,2022-01-11,64.53251647949219,63.91165542602539,62.660526275634766
741,741,741,2022-01-12,64.52310943603516,64.316162109375,62.85806655883789
742,742,742,2022-01-13,64.9276123046875,64.9464340209961,63.61064147949219
743,743,743,2022-01-14,64.8805923461914,64.4384536743164,63.930477142333984
744,744,744,2022-01-18,64.33497619628906,65.00287628173828,64.18445587158203
745,745,745,2022-01-19,64.08098602294922,65.71781921386719,63.68587875366211
746,746,746,2022-01-20,64.1374282836914,64.53251647949219,63.91165542602539
747,747,747,2022-01-21,64.175048828125,64.52310943603516,64.316162109375
748,748,748,2022-01-24,63.43189239501953,64.9276123046875,64.9464340209961
749,749,749,2022-01-25,63.8552131652832,64.8805923461914,64.4384536743164
750,750,750,2022-01-26,63.61064147949219,64.33497619628906,65.00287628173828
751,751,751,2022-01-27,64.85237121582031,64.08098602294922,65.71781921386719
752,752,752,2022-01-28,65.69900512695312,64.1374282836914,64.53251647949219
753,753,753,2022-01-31,65.52967834472656,64.175048828125,64.52310943603516
754,754,754,2022-02-01,64.42903900146484,63.43189239501953,64.9276123046875
755,755,755,2022-02-02,65.46382904052734,63.8552131652832,64.8805923461914
756,756,756,2022-02-03,65.35093688964844,63.61064147949219,64.33497619628906
757,757,757,2022-02-04,64.70184326171875,64.85237121582031,64.08098602294922
758,758,758,2022-02-07,64.67363739013672,65.69900512695312,64.1374282836914
759,759,759,2022-02-08,64.75829315185547,65.52967834472656,64.175048828125
760,760,760,2022-02-09,65.0875473022461,64.42903900146484,63.43189239501953
761,761,761,2022-02-10,63.10265350341797,65.46382904052734,63.8552131652832
762,762,762,2022-02-11,62.98976135253906,65.35093688964844,63.61064147949219
763,763,763,2022-02-14,62.46296691894531,64.70184326171875,64.85237121582031
764,764,764,2022-02-15,62.19956588745117,64.67363739013672,65.69900512695312
765,765,765,2022-02-16,62.03024291992188,64.75829315185547,65.52967834472656
766,766,766,2022-02-17,62.18075180053711,65.0875473022461,64.42903900146484
767,767,767,2022-02-18,62.08668518066406,63.10265350341797,65.46382904052734
768,768,768,2022-02-22,62.03024291992188,62.98976135253906,65.35093688964844
769,769,769,2022-02-23,61.08013153076172,62.46296691894531,64.70184326171875
770,770,770,2022-02-24,60.986061096191406,62.19956588745117,64.67363739013672
771,771,771,2022-02-25,63.24375915527344,62.03024291992188,64.75829315185547
772,772,772,2022-02-28,63.33783721923828,62.18075180053711,65.0875473022461
773,773,773,2022-03-01,62.56645202636719,62.08668518066406,63.10265350341797
774,774,774,2022-03-02,63.55419158935547,62.03024291992188,62.98976135253906
775,775,775,2022-03-03,65.03109741210938,61.08013153076172,62.46296691894531
776,776,776,2022-03-04,67.03480529785156,60.986061096191406,62.19956588745117
777,777,777,2022-03-07,67.3076171875,63.24375915527344,62.03024291992188
778,778,778,2022-03-08,66.02825164794922,63.33783721923828,62.18075180053711
779,779,779,2022-03-09,65.69900512695312,62.56645202636719,62.08668518066406
780,780,780,2022-03-10,66.00003051757812,63.55419158935547,62.03024291992188
781,781,781,2022-03-11,66.19757843017578,65.03109741210938,61.08013153076172
782,782,782,2022-03-14,65.8451919555664,67.03480529785156,60.986061096191406
783,783,783,2022-03-15,66.5272216796875,67.3076171875,63.24375915527344
784,784,784,2022-03-16,65.59889221191406,66.02825164794922,63.33783721923828
785,785,785,2022-03-17,66.0251693725586,65.69900512695312,62.56645202636719
786,786,786,2022-03-18,65.16314697265625,66.00003051757812,63.55419158935547
787,787,787,2022-03-21,65.66521453857422,66.19757843017578,65.03109741210938
788,788,788,2022-03-22,65.56098937988281,65.8451919555664,67.03480529785156
789,789,789,2022-03-23,65.64627075195312,66.5272216796875,67.3076171875
790,790,790,2022-03-24,66.19567108154297,65.59889221191406,66.02825164794922
791,791,791,2022-03-25,66.97245025634766,66.0251693725586,65.69900512695312
792,792,792,2022-03-28,67.48396301269531,65.16314697265625,66.00003051757812
793,793,793,2022-03-29,68.04286193847656,65.66521453857422,66.19757843017578
794,794,794,2022-03-30,68.50703430175781,65.56098937988281,65.8451919555664
795,795,795,2022-03-31,68.36494445800781,65.64627075195312,66.5272216796875
796,796,796,2022-04-01,68.91436767578125,66.19567108154297,65.59889221191406
797,797,797,2022-04-04,68.86699676513672,66.97245025634766,66.0251693725586
798,798,798,2022-04-05,69.21749114990234,67.48396301269531,65.16314697265625
799,799,799,2022-04-06,71.0362548828125,68.04286193847656,65.66521453857422
800,800,800,2022-04-07,70.63841247558594,68.50703430175781,65.56098937988281
801,801,801,2022-04-08,70.87522888183594,68.36494445800781,65.64627075195312
802,802,802,2022-04-11,70.4394760131836,68.91436767578125,66.19567108154297
803,803,803,2022-04-12,70.78997802734375,68.86699676513672,66.97245025634766
804,804,804,2022-04-13,70.4489517211914,69.21749114990234,67.48396301269531
805,805,805,2022-04-14,70.42052459716797,71.0362548828125,68.04286193847656
806,806,806,2022-04-18,70.28791809082031,70.63841247558594,68.50703430175781
807,807,807,2022-04-19,70.8941650390625,70.87522888183594,68.36494445800781
808,808,808,2022-04-20,71.37728118896484,70.4394760131836,68.91436767578125
809,809,809,2022-04-21,71.32991790771484,70.78997802734375,68.86699676513672
810,810,810,2022-04-22,70.38263702392578,70.4489517211914,69.21749114990234
811,811,811,2022-04-25,69.81427001953125,70.42052459716797,71.0362548828125
812,812,812,2022-04-26,69.51115417480469,70.28791809082031,70.63841247558594
813,813,813,2022-04-27,69.12277221679688,70.8941650390625,70.87522888183594
814,814,814,2022-04-28,70.93205261230469,71.37728118896484,70.4394760131836
815,815,815,2022-04-29,69.39747619628906,71.32991790771484,70.78997802734375
