,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DE,DE_6m,DE_12m,DE_6m_ret,DE_12m_ret
487,487,487,487,2021-01-11,284.2900085449219,259.3524169921875,258.8114318847656,0.0961533030690267,0.09844455662028273
488,488,488,488,2021-01-12,291.2015991210937,257.9932556152344,257.5426330566406,0.12871787452996641,0.13069279313087767
489,489,489,489,2021-01-13,290.3629150390625,264.3939514160156,258.76336669921875,0.09822071754654305,0.12211754987936296
490,490,490,490,2021-01-14,291.93414306640625,279.89434814453125,257.1197509765625,0.043015498532531726,0.13540146938387942
491,491,491,491,2021-01-15,284.75262451171875,288.9266357421875,255.0435791015625,-0.014446612787175739,0.11648615313042487
492,492,492,492,2021-01-19,284.3574523925781,283.3163757324219,256.55694580078125,0.003674608138922064,0.10835998419385695
493,493,493,493,2021-01-20,290.093017578125,284.2900085449219,259.3524169921875,0.020412286252705858,0.1185282980681206
494,494,494,494,2021-01-21,294.4886474609375,291.2015991210937,257.9932556152344,0.011287878740243062,0.1414587050296059
495,495,495,495,2021-01-22,294.1705322265625,290.3629150390625,264.3939514160156,0.013113304042245755,0.11262201972122399
496,496,496,496,2021-01-25,287.4518127441406,291.93414306640625,279.89434814453125,-0.015353909190560233,0.02700113328371634
497,497,497,497,2021-01-26,285.3406982421875,284.75262451171875,288.9266357421875,0.002065209166999482,-0.012411238897336418
498,498,498,498,2021-01-27,270.6114196777344,284.3574523925781,283.3163757324219,-0.04834068036263828,-0.04484370528121784
499,499,499,499,2021-01-28,282.400634765625,290.093017578125,284.2900085449219,-0.026516952654430437,-0.0066459380298563575
500,500,500,500,2021-01-29,278.390625,294.4886474609375,291.2015991210937,-0.05466432271577748,-0.04399348822176752
501,501,501,501,2021-02-01,281.6776733398437,294.1705322265625,290.3629150390625,-0.0424680840468995,-0.029911676902852347
502,502,502,502,2021-02-02,291.6353454589844,287.4518127441406,291.93414306640625,0.014553857479296939,-0.001023510317372911
503,503,503,503,2021-02-03,290.2858581542969,285.3406982421875,284.75262451171875,0.01733072058270535,0.01943172131272286
504,504,504,504,2021-02-04,298.12274169921875,270.6114196777344,284.3574523925781,0.10166356635742524,0.04840840002897662
505,505,505,505,2021-02-05,298.0938720703125,282.400634765625,290.093017578125,0.055570828718964904,0.027580307030426132
506,506,506,506,2021-02-08,305.6127319335937,278.390625,294.4886474609375,0.09778384934332363,0.037774238730651666
507,507,507,507,2021-02-09,303.9643249511719,281.6776733398437,294.1705322265625,0.07912111509256681,0.03329290888003178
508,508,508,508,2021-02-10,302.33526611328125,291.6353454589844,287.4518127441406,0.03668938220590867,0.05177721172483363
509,509,509,509,2021-02-11,303.12567138671875,290.2858581542969,285.3406982421875,0.044231618150675,0.06232890454847051
510,510,510,510,2021-02-12,301.7182922363281,298.12274169921875,270.6114196777344,0.012060638234492549,0.11495033208738303
511,511,511,511,2021-02-16,305.6608581542969,298.0938720703125,282.400634765625,0.02538457443432285,0.0823660449912813
512,512,512,512,2021-02-17,300.8314208984375,305.6127319335937,278.390625,-0.015644999489730416,0.08060902158051308
