,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,META,META_6m,META_12m,META_6m_ret,META_12m_ret
734,734,734,734,2022-01-03,338.5400085449219,335.239990234375,341.6600036621094,0.009843748975889577,-0.009131871110886869
735,735,735,735,2022-01-04,336.5299987792969,346.17999267578125,334.8999938964844,-0.027875654574648356,0.00486713918339543
736,736,736,736,2022-01-05,324.1700134277344,346.2200012207031,333.7900085449219,-0.06368779306575256,-0.028820500527033666
737,737,737,737,2022-01-06,332.4599914550781,342.94000244140625,325.45001220703125,-0.030559313325130955,0.02153934240318156
738,738,738,738,2022-01-07,331.7900085449219,344.3599853515625,334.20001220703125,-0.0365024315871304,-0.0072112614424934
739,739,739,739,2022-01-10,328.07000732421875,336.3500061035156,330.45001220703125,-0.024617210135410628,-0.007202314404277876
740,740,740,740,2022-01-11,334.3699951171875,338.5400085449219,335.239990234375,-0.012317638454779734,-0.002595141219814634
741,741,741,741,2022-01-12,333.260009765625,336.5299987792969,346.17999267578125,-0.009716783126417217,-0.03732157601105679
742,742,742,742,2022-01-13,326.4800109863281,324.1700134277344,346.2200012207031,0.007125882909921666,-0.057015741912008866
743,743,743,743,2022-01-14,331.8999938964844,332.4599914550781,342.94000244140625,-0.001684405862319882,-0.03219224490093753
744,744,744,744,2022-01-18,318.1499938964844,331.7900085449219,344.3599853515625,-0.041110383969235054,-0.07611218657800767
745,745,745,745,2022-01-19,319.5899963378906,328.07000732421875,336.3500061035156,-0.02584817507547299,-0.04982907525343383
746,746,746,746,2022-01-20,316.5599975585937,334.3699951171875,338.5400085449219,-0.053264341354408606,-0.06492588890985274
747,747,747,747,2022-01-21,303.1700134277344,333.260009765625,336.5299987792969,-0.09028985013549118,-0.09912930636962514
748,748,748,748,2022-01-24,308.7099914550781,326.4800109863281,324.1700134277344,-0.05442911949667306,-0.04769109211917488
749,749,749,749,2022-01-25,300.1499938964844,331.8999938964844,332.4599914550781,-0.09566134553742245,-0.0971846188685217
750,750,750,750,2022-01-26,294.6300048828125,318.1499938964844,331.7900085449219,-0.0739273596256127,-0.11199856145480702
751,751,751,751,2022-01-27,294.6400146484375,319.5899963378906,328.07000732421875,-0.07806871921946656,-0.1018989603726369
752,752,752,752,2022-01-28,301.7099914550781,316.5599975585937,334.3699951171875,-0.04691055792912335,-0.0976762393128694
753,753,753,753,2022-01-31,313.260009765625,303.1700134277344,333.260009765625,0.033281643602578015,-0.06001320114605291
754,754,754,754,2022-02-01,319.0,308.7099914550781,326.4800109863281,0.03333228217337836,-0.0229110840928064
755,755,755,755,2022-02-02,323.0,300.1499938964844,331.8999938964844,0.07612862424843536,-0.026815287918505293
756,756,756,756,2022-02-03,237.759994506836,294.6300048828125,318.1499938964844,-0.19302178811895365,-0.25267955659871755
757,757,757,757,2022-02-04,237.08999633789065,294.6400146484375,319.5899963378906,-0.19532315859818006,-0.25814324899198593
758,758,758,758,2022-02-07,224.9100036621093,301.7099914550781,316.5599975585937,-0.2545490370490553,-0.28951855762988643
759,759,759,759,2022-02-08,220.17999267578125,313.260009765625,303.1700134277344,-0.2971334169321018,-0.27374086181427437
760,760,760,760,2022-02-09,232.0,319.0,308.7099914550781,-0.2727272727272727,-0.24848561296481575
761,761,761,761,2022-02-10,228.07000732421875,323.0,300.1499938964844,-0.29390090611696984,-0.24014655351658798
762,762,762,762,2022-02-11,219.5500030517578,237.759994506836,294.6300048828125,-0.07658980432284046,-0.25482809145971863
763,763,763,763,2022-02-14,217.6999969482422,237.08999633789065,294.6400146484375,-0.08178328773523902,-0.2611322762524283
764,764,764,764,2022-02-15,221.0,224.9100036621093,301.7099914550781,-0.017384747669932143,-0.2675085139402654
765,765,765,765,2022-02-16,216.5399932861328,220.17999267578125,313.260009765625,-0.016531926200072156,-0.3087531554118772
766,766,766,766,2022-02-17,207.7100067138672,232.0,319.0,-0.10469824692298624,-0.3488714523076264
767,767,767,767,2022-02-18,206.1600036621093,228.07000732421875,323.0,-0.09606700994647988,-0.36173373479223125
768,768,768,768,2022-02-22,202.0800018310547,219.5500030517578,237.759994506836,-0.0795718559684313,-0.15006726741304433
769,769,769,769,2022-02-23,198.4499969482422,217.6999969482422,237.08999633789065,-0.08842443853858506,-0.16297608497399596
770,770,770,770,2022-02-24,207.6000061035156,221.0,224.9100036621093,-0.060633456545178266,-0.07696410687271671
771,771,771,771,2022-02-25,210.47999572753903,216.5399932861328,220.17999267578125,-0.02798558116969263,-0.04405485180720137
772,772,772,772,2022-02-28,211.02999877929688,207.7100067138672,232.0,0.015983784883331076,-0.09038793629613417
773,773,773,773,2022-03-01,203.4900054931641,206.1600036621093,228.07000732421875,-0.012951096825363106,-0.10777393362430299
