,Unnamed: 0.1,Unnamed: 0,Date,AMT,AMT_6m,AMT_12m
615,615,615,2021-07-15,262.5167236328125,259.6141662597656,253.6597595214844
616,616,616,2021-07-16,263.61798095703125,259.3807983398437,254.59304809570312
617,617,617,2021-07-19,262.1527099609375,259.8755187988281,252.1198272705078
618,618,618,2021-07-20,264.1219482421875,261.312744140625,252.29714965820312
619,619,619,2021-07-21,261.5647277832031,259.9501342773437,254.667709350586
620,620,620,2021-07-22,262.8153381347656,262.6007385253906,257.3369140625
621,621,621,2021-07-23,266.231201171875,262.5167236328125,259.6141662597656
622,622,622,2021-07-26,265.6245422363281,263.61798095703125,259.3807983398437
623,623,623,2021-07-27,267.7431945800781,262.1527099609375,259.8755187988281
624,624,624,2021-07-28,265.9698791503906,264.1219482421875,261.312744140625
625,625,625,2021-07-29,264.1219482421875,261.5647277832031,259.9501342773437
626,626,626,2021-07-30,263.9352722167969,262.8153381347656,262.6007385253906
627,627,627,2021-08-02,264.7006530761719,266.231201171875,262.5167236328125
628,628,628,2021-08-03,265.38189697265625,265.6245422363281,263.61798095703125
629,629,629,2021-08-04,265.86724853515625,267.7431945800781,262.1527099609375
630,630,630,2021-08-05,263.8980407714844,265.9698791503906,264.1219482421875
631,631,631,2021-08-06,263.3006591796875,264.1219482421875,261.5647277832031
632,632,632,2021-08-09,261.3780822753906,263.9352722167969,262.8153381347656
633,633,633,2021-08-10,256.9356384277344,264.7006530761719,266.231201171875
634,634,634,2021-08-11,258.7275390625,265.38189697265625,265.6245422363281
635,635,635,2021-08-12,261.3687744140625,265.86724853515625,267.7431945800781
636,636,636,2021-08-13,264.0473022460937,263.8980407714844,265.9698791503906
637,637,637,2021-08-16,264.3086242675781,263.3006591796875,264.1219482421875
638,638,638,2021-08-17,267.4165344238281,261.3780822753906,263.9352722167969
639,639,639,2021-08-18,264.4765930175781,256.9356384277344,264.7006530761719
640,640,640,2021-08-19,269.85235595703125,258.7275390625,265.38189697265625
641,641,641,2021-08-20,271.4203491210937,261.3687744140625,265.86724853515625
642,642,642,2021-08-23,269.2644348144531,264.0473022460937,263.8980407714844
643,643,643,2021-08-24,265.6152648925781,264.3086242675781,263.3006591796875
644,644,644,2021-08-25,264.02862548828125,267.4165344238281,261.3780822753906
645,645,645,2021-08-26,264.2899475097656,264.4765930175781,256.9356384277344
646,646,646,2021-08-27,266.4552307128906,269.85235595703125,258.7275390625
647,647,647,2021-08-30,272.22296142578125,271.4203491210937,261.3687744140625
648,648,648,2021-08-31,272.6802673339844,269.2644348144531,264.0473022460937
649,649,649,2021-09-01,278.083984375,265.6152648925781,264.3086242675781
650,650,650,2021-09-02,280.8185729980469,264.02862548828125,267.4165344238281
651,651,651,2021-09-03,281.8638610839844,264.2899475097656,264.4765930175781
652,652,652,2021-09-07,279.2600402832031,266.4552307128906,269.85235595703125
653,653,653,2021-09-08,283.366455078125,272.22296142578125,271.4203491210937
654,654,654,2021-09-09,277.02008056640625,272.6802673339844,269.2644348144531
655,655,655,2021-09-10,274.27618408203125,278.083984375,265.6152648925781
656,656,656,2021-09-13,274.9574890136719,280.8185729980469,264.02862548828125
657,657,657,2021-09-14,276.6281433105469,281.8638610839844,264.2899475097656
658,658,658,2021-09-15,277.4307556152344,279.2600402832031,266.4552307128906
659,659,659,2021-09-16,277.3188171386719,283.366455078125,272.22296142578125
660,660,660,2021-09-17,274.15484619140625,277.02008056640625,272.6802673339844
661,661,661,2021-09-20,271.765625,274.27618408203125,278.083984375
662,662,662,2021-09-21,272.4002990722656,274.9574890136719,280.8185729980469
663,663,663,2021-09-22,273.9681701660156,276.6281433105469,281.8638610839844
664,664,664,2021-09-23,268.7884521484375,277.4307556152344,279.2600402832031
665,665,665,2021-09-24,263.3566589355469,277.3188171386719,283.366455078125
666,666,666,2021-09-27,257.0088195800781,274.15484619140625,277.02008056640625
667,667,667,2021-09-28,251.99240112304688,271.765625,274.27618408203125
668,668,668,2021-09-29,253.17384338378903,272.4002990722656,274.9574890136719
669,669,669,2021-09-30,248.8606719970703,273.9681701660156,276.6281433105469
670,670,670,2021-10-01,249.9857940673828,268.7884521484375,277.4307556152344
671,671,671,2021-10-04,248.69192504882807,263.3566589355469,277.3188171386719
672,672,672,2021-10-05,248.0542907714844,257.0088195800781,274.15484619140625
673,673,673,2021-10-06,251.2516326904297,251.99240112304688,271.765625
674,674,674,2021-10-07,249.5170135498047,253.17384338378903,272.4002990722656
