,Unnamed: 0.1,Unnamed: 0,Date,EXC,EXC_6m,EXC_12m
1001,1001,1001,2023-01-26,40.153106689453125,40.76119613647461,42.61442184448242
1002,1002,1002,2023-01-27,40.2399787902832,40.57780838012695,42.17041778564453
1003,1003,1003,2023-01-30,40.29789352416992,40.867374420166016,42.604766845703125
1004,1004,1004,2023-01-31,40.72258377075195,40.36545944213867,41.87120056152344
1005,1005,1005,2023-02-01,40.82876586914063,40.06624221801758,41.87120056152344
1006,1006,1006,2023-02-02,40.43302154541016,39.9793701171875,41.65885162353516
1007,1007,1007,2023-02-03,39.47746276855469,40.153106689453125,40.76119613647461
1008,1008,1008,2023-02-06,39.53536987304688,40.2399787902832,40.57780838012695
1009,1009,1009,2023-02-07,39.40024185180664,40.29789352416992,40.867374420166016
1010,1010,1010,2023-02-08,38.84041595458984,40.72258377075195,40.36545944213867
1011,1011,1011,2023-02-09,38.5991096496582,40.82876586914063,40.06624221801758
1012,1012,1012,2023-02-10,39.294063568115234,40.43302154541016,39.9793701171875
1013,1013,1013,2023-02-13,39.75736999511719,39.47746276855469,40.153106689453125
1014,1014,1014,2023-02-14,40.568153381347656,39.53536987304688,40.2399787902832
1015,1015,1015,2023-02-15,41.18589019775391,39.40024185180664,40.29789352416992
1016,1016,1016,2023-02-16,41.01215744018555,38.84041595458984,40.72258377075195
1017,1017,1017,2023-02-17,41.552677154541016,38.5991096496582,40.82876586914063
1018,1018,1018,2023-02-21,40.76119613647461,39.294063568115234,40.43302154541016
1019,1019,1019,2023-02-22,40.384765625,39.75736999511719,39.47746276855469
1020,1020,1020,2023-02-23,40.384765625,40.568153381347656,39.53536987304688
1021,1021,1021,2023-02-24,40.22898864746094,41.18589019775391,39.40024185180664
1022,1022,1022,2023-02-27,40.33608627319336,41.01215744018555,38.84041595458984
1023,1023,1023,2023-02-28,39.323543548583984,41.552677154541016,38.5991096496582
1024,1024,1024,2023-03-01,38.70044708251953,40.76119613647461,39.294063568115234
1025,1025,1025,2023-03-02,39.31380844116211,40.384765625,39.75736999511719
1026,1026,1026,2023-03-03,40.28740692138672,40.384765625,40.568153381347656
1027,1027,1027,2023-03-06,40.39450073242188,40.22898864746094,41.18589019775391
1028,1028,1028,2023-03-07,39.91743850708008,40.33608627319336,41.01215744018555
