,Unnamed: 0.1,Unnamed: 0,Date,TFX,TFX_6m,TFX_12m
272,272,272,2020-03-05,334.51336669921875,338.91668701171875,380.591796875
273,273,273,2020-03-06,340.8505249023437,330.86834716796875,387.8353576660156
274,274,274,2020-03-09,328.4415283203125,329.15869140625,377.2546691894531
275,275,275,2020-03-10,350.1352233886719,347.4234924316406,363.5526123046875
276,276,276,2020-03-11,336.0951843261719,331.2121276855469,354.90557861328125
277,277,277,2020-03-12,292.5014343261719,345.23260498046875,341.6748046875
278,278,278,2020-03-13,312.8492126464844,334.51336669921875,338.91668701171875
279,279,279,2020-03-16,277.7147521972656,340.8505249023437,330.86834716796875
280,280,280,2020-03-17,258.2415771484375,328.4415283203125,329.15869140625
281,281,281,2020-03-18,240.7627868652344,350.1352233886719,347.4234924316406
282,282,282,2020-03-19,249.94921875,336.0951843261719,331.2121276855469
283,283,283,2020-03-20,239.573959350586,292.5014343261719,345.23260498046875
284,284,284,2020-03-23,221.3681182861328,312.8492126464844,334.51336669921875
285,285,285,2020-03-24,251.4032745361328,277.7147521972656,340.8505249023437
286,286,286,2020-03-25,275.9462890625,258.2415771484375,328.4415283203125
287,287,287,2020-03-26,284.9165344238281,240.7627868652344,350.1352233886719
288,288,288,2020-03-27,277.5674133300781,249.94921875,336.0951843261719
289,289,289,2020-03-30,283.2954406738281,239.573959350586,292.5014343261719
290,290,290,2020-03-31,287.7363586425781,221.3681182861328,312.8492126464844
291,291,291,2020-04-01,274.90478515625,251.4032745361328,277.7147521972656
292,292,292,2020-04-02,290.1336669921875,275.9462890625,258.2415771484375
293,293,293,2020-04-03,289.21990966796875,284.9165344238281,240.7627868652344
294,294,294,2020-04-06,315.8261108398437,277.5674133300781,249.94921875
295,295,295,2020-04-07,302.99468994140625,283.2954406738281,239.573959350586
296,296,296,2020-04-08,315.953857421875,287.7363586425781,221.3681182861328
297,297,297,2020-04-09,319.8642272949219,274.90478515625,251.4032745361328
298,298,298,2020-04-13,315.42340087890625,290.1336669921875,275.9462890625
299,299,299,2020-04-14,325.1402893066406,289.21990966796875,284.9165344238281
300,300,300,2020-04-15,325.2484130859375,315.8261108398437,277.5674133300781
301,301,301,2020-04-16,324.30517578125,302.99468994140625,283.2954406738281
302,302,302,2020-04-17,340.61474609375,315.953857421875,287.7363586425781
303,303,303,2020-04-20,338.8167419433594,319.8642272949219,274.90478515625
304,304,304,2020-04-21,322.6054382324219,315.42340087890625,290.1336669921875
305,305,305,2020-04-22,328.1860656738281,325.1402893066406,289.21990966796875
306,306,306,2020-04-23,328.5790405273437,325.2484130859375,315.8261108398437
307,307,307,2020-04-24,332.4698181152344,324.30517578125,302.99468994140625
308,308,308,2020-04-27,343.9552001953125,340.61474609375,315.953857421875
309,309,309,2020-04-28,334.3168640136719,338.8167419433594,319.8642272949219
310,310,310,2020-04-29,346.9518737792969,322.6054382324219,315.42340087890625
311,311,311,2020-04-30,329.5321350097656,328.1860656738281,325.1402893066406
312,312,312,2020-05-01,323.60748291015625,328.5790405273437,325.2484130859375
313,313,313,2020-05-04,320.08038330078125,332.4698181152344,324.30517578125
314,314,314,2020-05-05,334.7884826660156,343.9552001953125,340.61474609375
315,315,315,2020-05-06,330.8192138671875,334.3168640136719,338.8167419433594
316,316,316,2020-05-07,337.264404296875,346.9518737792969,322.6054382324219
317,317,317,2020-05-08,334.3463439941406,329.5321350097656,328.1860656738281
318,318,318,2020-05-11,341.37127685546875,323.60748291015625,328.5790405273437
319,319,319,2020-05-12,334.27764892578125,320.08038330078125,332.4698181152344
320,320,320,2020-05-13,332.0767517089844,334.7884826660156,343.9552001953125
321,321,321,2020-05-14,328.83123779296875,330.8192138671875,334.3168640136719
322,322,322,2020-05-15,330.149169921875,337.264404296875,346.9518737792969
